source,relative_path,source_size,source_sha1,output,output_relative_path,status,error,decoded_size,decoded_sha256,output_size,output_sha1,bridge_stdout,bridge_stderr,runtime_compatibility,lzx_magic,lzx_compressed_size,expected_unpacked_size,codec,compressed_size,output_sha256,validate_ok,runtime_note,pc_table_normalization,object_start,converted_header_words,converted_page_pointer_words,converted_native_hash_words,converted_static_words,warning,script_header_words_be,code_size,parameter_count,static_count,static_pointer,native_count,native_pointer,page_pointer_table,page_count
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\fort_mercer\fortmercermp.xsc,action_areas/fort_mercer/fortmercermp.xsc,28748,297F62C610C1D1835FFA8EF1992E17145506BDF5,D:\Games\Red Dead Redemption\Code_RED\build\mp_xenon_full_conversion_pass2\import_ready_wsc_from_xsc_named\action_areas\fort_mercer\fortmercermp.wsc,action_areas/fort_mercer/fortmercermp.wsc,pc_wsc_magicrdr_table_candidate_runtime_unproven,,69632,EF7A10310C9811F134F194C1925917067698B2314FD49D76E7FC3F08F5615B84,28993,D909B5B3C5591C03D15CCC9B9EDFDD4A19EB2F8A,"{""status"":""ok"",""hr"":0,""input_size"":28724,""output_size"":69632,""message"":""""}",,unproven,0x0FF512F1,28724,69632,zstd-level-22-no-content-size,28977,8C60B7FDE64255B41510D4C54295A9D1A0F70B9E82AC40E93B4803A9798153CA,True,PC wrapper validates and script tables are PC/Switch-endian. Runtime compatibility is still game-unproven.,xenon-big-tables-to-pc-little,65536,10,4,425,630,,"['0xA8D74300', '0x500106E0', '0x50010700', '0x0000F612', '0x00000000', '0x00000276', '0x5000F620', '0x349D018A', '0x000001A9', '0x50010030']",62994,0,630,63008,425,65584,67328,4
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\gaptooth_breach\gaptoothbreachmp.xsc,action_areas/gaptooth_breach/gaptoothbreachmp.xsc,30760,822DEE0898DE1AF36627E31528C602C2DD7D62B6,D:\Games\Red Dead Redemption\Code_RED\build\mp_xenon_full_conversion_pass2\import_ready_wsc_from_xsc_named\action_areas\gaptooth_breach\gaptoothbreachmp.wsc,action_areas/gaptooth_breach/gaptoothbreachmp.wsc,pc_wsc_magicrdr_table_candidate_runtime_unproven,,73728,793A9C5146FE1634F897B7A167362D66DA805BF34F89A81C94FCDC888D700FB1,31032,140DF77AB692A600E70B66FABB174C80A7561935,"{""status"":""ok"",""hr"":0,""input_size"":30736,""output_size"":73728,""message"":""""}",,unproven,0x0FF512F1,30736,73728,zstd-level-21-no-content-size,31016,8CB90D7F638DC969CA8B8861A573A894D0BDF0F2C7CC5C4A37D7B421B4AEE6FD,True,PC wrapper validates and script tables are PC/Switch-endian. Runtime compatibility is still game-unproven.,xenon-big-tables-to-pc-little,65536,10,5,483,568,,"['0xA8D74300', '0x50011650', '0x50011680', '0x000105A3', '0x00000000', '0x00000238', '0x50010030', '0x349D018A', '0x000001E3', '0x50010910']",66979,0,568,65584,483,67856,71296,5
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\genericmp_aa.xsc,action_areas/genericmp_aa.xsc,2868,8F86E8D066095D54C07BDC1E14C9D48E971EDF1D,D:\Games\Red Dead Redemption\Code_RED\build\mp_xenon_full_conversion_pass2\import_ready_wsc_from_xsc_named\action_areas\genericmp_aa.wsc,action_areas/genericmp_aa.wsc,pc_wsc_magicrdr_table_candidate_runtime_unproven,,8192,98B4A8736794A6D0C625D3152F93DA0EAE2D09771D577887E55D4BE821BB3AF6,2810,F929B4968ECEAA7A6C75A1A9E0CFF8CD8AAA4067,"{""status"":""ok"",""hr"":0,""input_size"":2844,""output_size"":8192,""message"":""""}",,unproven,0x0FF512F1,2844,8192,zstd-level-22-no-content-size,2794,7936F1AAAABFA2CCBE3721B80B21A725B6ACA76EDA86B7C6BCE6CFF5D1894407,True,PC wrapper validates and script tables are PC/Switch-endian. Runtime compatibility is still game-unproven.,xenon-big-tables-to-pc-little,0,10,1,95,112,,"['0xA8D74300', '0x50001200', '0x50001220', '0x00000E87', '0x00000002', '0x00000070', '0x50000EC0', '0x349D018A', '0x0000005F', '0x50001080']",3719,2,112,3776,95,4224,4640,1
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\nosalida\nosalidamp.xsc,action_areas/nosalida/nosalidamp.xsc,27692,12097D2F596D9DAE8CF19F3C7AC66894F7459556,D:\Games\Red Dead Redemption\Code_RED\build\mp_xenon_full_conversion_pass2\import_ready_wsc_from_xsc_named\action_areas\nosalida\nosalidamp.wsc,action_areas/nosalida/nosalidamp.wsc,pc_wsc_magicrdr_table_candidate_runtime_unproven,,69632,23149AC9A6E30B323E75EA13879B445FAA10EA4952552FDE9184D6A6C985FE3B,27917,23A6A9F54815FA412460A85C4F459AECB331DA2A,"{""status"":""ok"",""hr"":0,""input_size"":27668,""output_size"":69632,""message"":""""}",,unproven,0x0FF512F1,27668,69632,zstd-level-22-no-content-size,27901,9750AC159FC9032699A3BF01A55EA6C62D073C5347AD32B6CB9F0618FDF5DA42,True,PC wrapper validates and script tables are PC/Switch-endian. Runtime compatibility is still game-unproven.,xenon-big-tables-to-pc-little,65536,10,4,454,471,,"['0xA8D74300', '0x50010EB0', '0x50010ED0', '0x0000E5F3', '0x00000000', '0x000001D7', '0x50010030', '0x349D018A', '0x000001C6', '0x50010790']",58867,0,471,65584,454,67472,69328,4
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\pikes_basin\pikesbasinmp.xsc,action_areas/pikes_basin/pikesbasinmp.xsc,28506,795D7170D7A0219BE8BDF72298B28F0CD88660C0,D:\Games\Red Dead Redemption\Code_RED\build\mp_xenon_full_conversion_pass2\import_ready_wsc_from_xsc_named\action_areas\pikes_basin\pikesbasinmp.wsc,action_areas/pikes_basin/pikesbasinmp.wsc,pc_wsc_magicrdr_table_candidate_runtime_unproven,,69632,9CA1ACDE10EB1B64CAE54496DB16620572BC425866121A3AB610D69C1C70B4F0,28771,DE70E893D06B72D0441C2E32B9A3C8B3AA5A9FF2,"{""status"":""ok"",""hr"":0,""input_size"":28482,""output_size"":69632,""message"":""""}",,unproven,0x0FF512F1,28482,69632,zstd-level-22-no-content-size,28755,19960026602FF676C08D60D2BB6004E86A47ED47DCB8C5DDB51C726ED20DA441,True,PC wrapper validates and script tables are PC/Switch-endian. Runtime compatibility is still game-unproven.,xenon-big-tables-to-pc-little,65536,10,4,423,625,,"['0xA8D74300', '0x5000FD00', '0x5000FD20', '0x0000F32B', '0x00000000', '0x00000271', '0x5000F330', '0x349D018A', '0x000001A7', '0x50010030']",62251,0,625,62256,423,65584,64800,4
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\solomons_folly\solomonsfollymp.xsc,action_areas/solomons_folly/solomonsfollymp.xsc,26414,1BDCED02D7FBDF024C0F2D42793156525EDBAD4A,D:\Games\Red Dead Redemption\Code_RED\build\mp_xenon_full_conversion_pass2\import_ready_wsc_from_xsc_named\action_areas\solomons_folly\solomonsfollymp.wsc,action_areas/solomons_folly/solomonsfollymp.wsc,pc_wsc_magicrdr_table_candidate_runtime_unproven,,61440,4201DC36D2B2B7EFEF759472F04DC98DC8DC1B10B661A6E39258BBB1A517F8D4,26640,AC212C9737D08E03617AD393BB3A99B755B78989,"{""status"":""ok"",""hr"":0,""input_size"":26390,""output_size"":61440,""message"":""""}",,unproven,0x0FF512F1,26390,61440,zstd-level-22-no-content-size,26624,B9B20A82BA46E786CAB25A58C0BCE2DFB44CF9533453E50D014FD60DB5353F1E,True,PC wrapper validates and script tables are PC/Switch-endian. Runtime compatibility is still game-unproven.,xenon-big-tables-to-pc-little,57344,10,4,425,474,,"['0xA8D74300', '0x5000EE50', '0x5000EE70', '0x0000DAF3', '0x00000000', '0x000001DA', '0x5000E030', '0x349D018A', '0x000001A9', '0x5000E7A0']",56051,0,474,57392,425,59296,61040,4
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\tesoro_azul\tesoroazulmp.xsc,action_areas/tesoro_azul/tesoroazulmp.xsc,28240,596C2741826A8E797859A78FA507EE62F9670E89,D:\Games\Red Dead Redemption\Code_RED\build\mp_xenon_full_conversion_pass2\import_ready_wsc_from_xsc_named\action_areas\tesoro_azul\tesoroazulmp.wsc,action_areas/tesoro_azul/tesoroazulmp.wsc,pc_wsc_magicrdr_table_candidate_runtime_unproven,,69632,D93CA71830AE11889FE3E645EE442EA82901D8A71D956DEF997E146F847474F7,28522,09C6BEE29B91AE2D5B5DF15B7154ABCD5AC12801,"{""status"":""ok"",""hr"":0,""input_size"":28216,""output_size"":69632,""message"":""""}",,unproven,0x0FF512F1,28216,69632,zstd-level-22-no-content-size,28506,E7E6337D2A20680453C4FC88B18479C8010BDD9A839F5EA132136E430724768D,True,PC wrapper validates and script tables are PC/Switch-endian. Runtime compatibility is still game-unproven.,xenon-big-tables-to-pc-little,65536,10,4,453,471,,"['0xA8D74300', '0x50010EB0', '0x50010ED0', '0x0000E76B', '0x00000000', '0x000001D7', '0x50010030', '0x349D018A', '0x000001C5', '0x50010790']",59243,0,471,65584,453,67472,69328,4
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\tumbleweed\tumbleweedmp.xsc,action_areas/tumbleweed/tumbleweedmp.xsc,28524,6F6157EB27B306B935640D79168A78A5A1B5EF68,D:\Games\Red Dead Redemption\Code_RED\build\mp_xenon_full_conversion_pass2\import_ready_wsc_from_xsc_named\action_areas\tumbleweed\tumbleweedmp.wsc,action_areas/tumbleweed/tumbleweedmp.wsc,pc_wsc_magicrdr_table_candidate_runtime_unproven,,69632,D2BF79B98E3AC8C864F22F3311A947E13C624C0BB6FD8B6E4FD1B8CE434414B1,28766,683354A489D659151777BF6A80C06D055B098C33,"{""status"":""ok"",""hr"":0,""input_size"":28500,""output_size"":69632,""message"":""""}",,unproven,0x0FF512F1,28500,69632,zstd-level-22-no-content-size,28750,ADA7CF3595953C0947C04866D99F8086967B37E3608F5E40EAE4220655BC9C04,True,PC wrapper validates and script tables are PC/Switch-endian. Runtime compatibility is still game-unproven.,xenon-big-tables-to-pc-little,65536,10,4,424,504,,"['0xA8D74300', '0x5000FF10', '0x5000FF30', '0x0000F085', '0x00000000', '0x000001F8', '0x5000F090', '0x349D018A', '0x000001A8', '0x5000F870']",61573,0,504,61584,424,63600,65328,4
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\twin_rocks\twinrocksmp.xsc,action_areas/twin_rocks/twinrocksmp.xsc,27412,D56C8AAC6A1A17386D2800715BDE716B99BB572B,D:\Games\Red Dead Redemption\Code_RED\build\mp_xenon_full_conversion_pass2\import_ready_wsc_from_xsc_named\action_areas\twin_rocks\twinrocksmp.wsc,action_areas/twin_rocks/twinrocksmp.wsc,pc_wsc_magicrdr_table_candidate_runtime_unproven,,69632,41DB0A64CDE0F20C71C36F2A35D55C5A82EBE963791A9AE436DCE0F21747C848,27632,2192E1909B7007EF2D6F87DA9CE2100AE63C6C3F,"{""status"":""ok"",""hr"":0,""input_size"":27388,""output_size"":69632,""message"":""""}",,unproven,0x0FF512F1,27388,69632,zstd-level-22-no-content-size,27616,EFE409E575690880F645CD389CD3379572ACBEA9619C103D934BB15630949179,True,PC wrapper validates and script tables are PC/Switch-endian. Runtime compatibility is still game-unproven.,xenon-big-tables-to-pc-little,65536,10,4,445,489,,"['0xA8D74300', '0x50010EE0', '0x50010F00', '0x0000E040', '0x00000000', '0x000001E9', '0x50010030', '0x349D018A', '0x000001BD', '0x500107E0']",57408,0,489,65584,445,67552,69376,4
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\wilderness\bearwildernessaa.xsc,action_areas/wilderness/bearwildernessaa.xsc,12632,CC4257F30EFB489D48EC93781F40B33446839690,D:\Games\Red Dead Redemption\Code_RED\build\mp_xenon_full_conversion_pass2\import_ready_wsc_from_xsc_named\action_areas\wilderness\bearwildernessaa.wsc,action_areas/wilderness/bearwildernessaa.wsc,pc_wsc_magicrdr_table_candidate_runtime_unproven,,28672,260AF8B0767D2A98C49A8BFF8CF399C73574C7B1D210C4D8FB76B9A78F1D401E,12670,E29DE0F6038049E93D330F1762289E69A28CD0FA,"{""status"":""ok"",""hr"":0,""input_size"":12608,""output_size"":28672,""message"":""""}",,unproven,0x0FF512F1,12608,28672,zstd-level-22-no-content-size,12654,01C02DA18EE77C81C5A3F6D4A1BB5FA69798C1B5E46416256A4B7F6F1470F949,True,PC wrapper validates and script tables are PC/Switch-endian. Runtime compatibility is still game-unproven.,xenon-big-tables-to-pc-little,24576,10,2,259,137,,"['0xA8D74300', '0x50005DA0', '0x50005DC0', '0x00005759', '0x00000000', '0x00000089', '0x50005B70', '0x349D018A', '0x00000103', '0x50005760']",22361,0,137,23408,259,22368,24000,2
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\wilderness\boarwildernessaa.xsc,action_areas/wilderness/boarwildernessaa.xsc,12566,AFDF515A459E51540226B6A39597C3CE66D5A2BA,D:\Games\Red Dead Redemption\Code_RED\build\mp_xenon_full_conversion_pass2\import_ready_wsc_from_xsc_named\action_areas\wilderness\boarwildernessaa.wsc,action_areas/wilderness/boarwildernessaa.wsc,pc_wsc_magicrdr_table_candidate_runtime_unproven,,28672,3E075403227029B32FCE8A59078A77E3F16E141AAEC7CE37354431A46F205CA8,12598,0C8107845B6BA1DEFE102BBF63AB786D718DD4E5,"{""status"":""ok"",""hr"":0,""input_size"":12542,""output_size"":28672,""message"":""""}",,unproven,0x0FF512F1,12542,28672,zstd-level-22-no-content-size,12582,6D732CF8A970B1B9D1AA4E1A54252120AB8018166C176C09EEDDF1F3BA86A094,True,PC wrapper validates and script tables are PC/Switch-endian. Runtime compatibility is still game-unproven.,xenon-big-tables-to-pc-little,24576,10,2,255,137,,"['0xA8D74300', '0x50005D60', '0x50005D80', '0x00005729', '0x00000000', '0x00000089', '0x50005B30', '0x349D018A', '0x000000FF', '0x50005730']",22313,0,137,23344,255,22320,23936,2
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\wilderness\cougarwildernessaa.xsc,action_areas/wilderness/cougarwildernessaa.xsc,12564,08736297354EC8100C97B4D154957DD6569F82FE,D:\Games\Red Dead Redemption\Code_RED\build\mp_xenon_full_conversion_pass2\import_ready_wsc_from_xsc_named\action_areas\wilderness\cougarwildernessaa.wsc,action_areas/wilderness/cougarwildernessaa.wsc,pc_wsc_magicrdr_table_candidate_runtime_unproven,,28672,517F69CB2ABB13850B20E1653AF7470366FCEE9BF318AD1D9F869494FD54757A,12609,75326123AFB9874F39571F8F45A5192182CE98C5,"{""status"":""ok"",""hr"":0,""input_size"":12540,""output_size"":28672,""message"":""""}",,unproven,0x0FF512F1,12540,28672,zstd-level-22-no-content-size,12593,EFB5EE4A183FD94D0E0E37B6951FF257B6AB1EDE8836641C72A33ABA296A76AE,True,PC wrapper validates and script tables are PC/Switch-endian. Runtime compatibility is still game-unproven.,xenon-big-tables-to-pc-little,24576,10,2,255,137,,"['0xA8D74300', '0x50005E00', '0x50005E20', '0x000057CD', '0x00000000', '0x00000089', '0x50005BD0', '0x349D018A', '0x000000FF', '0x500057D0']",22477,0,137,23504,255,22480,24096,2
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\content\release64\multiplayer\action_areas\wilderness\wolfwildernessaa.xsc,action_areas/wilderness/wolfwildernessaa.xsc,12556,68DAEF23AF2A634472BF48D1F553A1769ECF5913,D:\Games\Red Dead Redemption\Code_RED\build\mp_xenon_full_conversion_pass2\import_ready_wsc_from_xsc_named\action_areas\wilderness\wolfwildernessaa.wsc,action_areas/wilderness/wolfwildernessaa.wsc,pc_wsc_magicrdr_table_candidate_runtime_unproven,,28672,43E9C5B8EC34F8424086985F7D06A0E3603933297A03BCABC0F8913CA93E9760,12596,08A4AED06E31C51C59BCFEF8A6D189438292AE61,"{""status"":""ok"",""hr"":0,""input_size"":12532,""output_size"":28672,""message"":""""}",,unproven,0x0FF512F1,12532,28672,zstd-level-22-no-content-size,12580,CD80B35604917B722E3D05A938475AD835E940CDCBA3B951B5EDC572D01C9400,True,PC wrapper validates and script tables are PC/Switch-endian. Runtime compatibility is still game-unproven.,xenon-big-tables-to-pc-little,24576,10,2,255,137,,"['0xA8D74300', '0x50005D90', '0x50005DB0', '0x0000575D', '0x00000000', '0x00000089', '0x50005B60', '0x349D018A', '0x000000FF', '0x50005760']",22365,0,137,23392,255,22368,23984,2
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\content\release64\multiplayer\ctf\ctf_base_game.xsc,ctf/ctf_base_game.xsc,45446,301C5AA2919AF5BFA3C347F17A9BA78209CF6850,D:\Games\Red Dead Redemption\Code_RED\build\mp_xenon_full_conversion_pass2\import_ready_wsc_from_xsc_named\ctf\ctf_base_game.wsc,ctf/ctf_base_game.wsc,pc_wsc_magicrdr_table_candidate_runtime_unproven,,110592,B05D2D9811735A03AAD84F3AAA58521AB2B413FE4935F78836766E6707709783,45643,ECFAEC2531CB933BDE286C2CF2DD41DCBBDBE1D9,"{""status"":""ok"",""hr"":0,""input_size"":45422,""output_size"":110592,""message"":""""}",,unproven,0x0FF512F1,45422,110592,zstd-level-22-no-content-size,45627,76C2EB0C012053F58FF0810EF1C3BD678710D868198DE8B2334381607A60D52E,True,PC wrapper validates and script tables are PC/Switch-endian. Runtime compatibility is still game-unproven.,xenon-big-tables-to-pc-little,106496,10,7,592,1319,,"['0xA8D74300', '0x5001AF10', '0x5001AF40', '0x00018EDB', '0x00000000', '0x00000527', '0x50018000', '0x349D018A', '0x00000250', '0x500194A0']",102107,0,1319,98304,592,103584,110400,7
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\content\release64\multiplayer\deathmatch\deathmatch.xsc,deathmatch/deathmatch.xsc,34574,7A5909CF0F14B595C71A46971E013178418CA37F,D:\Games\Red Dead Redemption\Code_RED\build\mp_xenon_full_conversion_pass2\import_ready_wsc_from_xsc_named\deathmatch\deathmatch.wsc,deathmatch/deathmatch.wsc,pc_wsc_magicrdr_table_candidate_runtime_unproven,,86016,22DEEF6255AF76172DE8BE594627C99CC16D9EEDC4B64620BB74C36F305D0E0A,34739,318403EA67DECC4E87376D47161B3AB3B693129F,"{""status"":""ok"",""hr"":0,""input_size"":34550,""output_size"":86016,""message"":""""}",,unproven,0x0FF512F1,34550,86016,zstd-level-22-no-content-size,34723,5613835D51E55FC91F9E4E8929318DBCE485642EC7BDD3B98885E202602A8C9E,True,PC wrapper validates and script tables are PC/Switch-endian. Runtime compatibility is still game-unproven.,xenon-big-tables-to-pc-little,81920,10,5,495,1054,,"['0xA8D74300', '0x50013E30', '0x50013E60', '0x000125E5', '0x00000000', '0x0000041E', '0x500125F0', '0x349D018A', '0x000001EF', '0x50013670']",75237,0,1054,75248,495,79472,81504,5
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\content\release64\multiplayer\deathmatch\testmatch.xsc,deathmatch/testmatch.xsc,7596,87BAAF6ADC052DC1768707017FE343BC3AD69930,D:\Games\Red Dead Redemption\Code_RED\build\mp_xenon_full_conversion_pass2\import_ready_wsc_from_xsc_named\deathmatch\testmatch.wsc,deathmatch/testmatch.wsc,pc_wsc_magicrdr_table_candidate_runtime_unproven,,20480,D0BF106EE3B6E4F48F0E99D4DF83471668E71C31AF122A177E6ED6E11C856B30,7613,E6535555BABD80346669F5DC5060197D79F7EF04,"{""status"":""ok"",""hr"":0,""input_size"":7572,""output_size"":20480,""message"":""""}",,unproven,0x0FF512F1,7572,20480,zstd-level-22-no-content-size,7597,790A07D0771EC1F8D1508842DA5A01498AD7BEC3C813C96C2A1BE8562A632336,True,PC wrapper validates and script tables are PC/Switch-endian. Runtime compatibility is still game-unproven.,xenon-big-tables-to-pc-little,16384,10,1,111,107,,"['0xA8D74300', '0x50003E60', '0x50003E80', '0x00003AE3', '0x00000000', '0x0000006B', '0x50003CB0', '0x349D018A', '0x0000006F', '0x50003AF0']",15075,0,107,15536,111,15088,16000,1
D:\Games\Red Dead Redemption\game\XENON MULTIPLAYER\content\release64\multiplayer\freemode\freemode.xsc,freemode/freemode.xsc,47730,E8273C4D88372400873F17FC44FB1B4BEE8473FE,D:\Games\Red Dead Redemption\Code_RED\build\mp_xenon_full_conversion_pass2\import_ready_wsc_from_xsc_named\freemode\freemode.wsc,freemode/freemode.wsc,pc_wsc_magicrdr_table_candidate_runtime_unproven,,114688,B95809D018FA03C0BCBF8868EE9D0118766C364D70349B1FD95BF75EA2769963,47932,F2A648E9CD922825E404B58574DF3215CCB69BB6,"{""status"":""ok"",""hr"":0,""input_size"":47706,""output_size"":114688,""message"":""""}",,unproven,0x0FF512F1,47706,114688,zstd-level-22-no-content-size,47916,15C5E5BAF59DCBE466885B6F062B259CF6B159D1D8A215C7FC73D8FB40625C8A,True,PC wrapper validates and script tables are PC/Switch-endian. Runtime compatibility is still game-unproven.,xenon-big-tables-to-pc-little,98304,10,7,556,530,,"['0xA8D74300', '0x5001B0C0', '0x5001B0F0', '0x00019F82', '0x00000000', '0x00000212', '0x5001A870', '0x349D018A', '0x0000022C', '0x50018030']",106370,0,530,108656,556,98352,110832,7
